Date,TotalOutstanding
2020-09-22,975861.0
2020-09-23,968377.0
2020-09-24,966382.0
2020-09-25,970116.0
2020-09-26,960969.0
2020-09-27,956402.0
2020-09-28,962640.0
2020-09-29,947576.0
2020-09-30,940441.0
2020-10-01,940705.0
2020-10-02,942217.0
2020-10-03,944996.0
2020-10-04,937625.0
2020-10-05,934427.0
2020-10-06,919023.0
2020-10-07,907883.0
2020-10-08,902425.0
2020-10-09,893592.0
2020-10-10,883185.0
2020-10-11,867496.0
2020-10-12,861853.0
2020-10-13,838729.0
2020-10-14,826876.0
2020-10-15,812390.0
2020-10-16,804528.0
2020-10-17,795087.0
2020-10-18,783311.0
2020-10-19,772055.0
2020-10-20,748538.0
2020-10-21,740090.0
2020-10-22,715812.0
2020-10-23,695509.0
2020-10-24,680680.0
2020-10-25,668154.0
2020-10-26,653717.0
2020-10-27,625857.0
2020-10-28,610803.0
2020-10-29,603687.0
2020-10-30,594386.0
2020-10-31,582649.0
2020-11-01,570458.0
2020-11-02,561908.0
2020-11-03,541405.0
2020-11-04,533787.0
2020-11-05,527962.0
2020-11-06,520773.0
2020-11-07,516632.0
2020-11-08,512665.0
2020-11-09,509673.0
2020-11-10,501214.0
2020-11-11,494657.0
2020-11-12,489294.0
2020-11-13,484547.0
2020-11-14,480719.0
2020-11-15,479216.0
2020-11-16,465478.0
2020-11-17,453401.0
2020-11-18,446805.0
2020-11-19,443303.0
2020-11-20,443794.0
2020-11-21,439747.0
2020-11-22,440962.0
2020-11-23,443486.0
2020-11-24,438667.0
2020-11-25,444746.0
2020-11-26,452344.0
2020-11-27,455555.0
2020-11-28,454940.0
2020-11-29,453956.0
2020-11-30,446952.0
2020-12-01,435603.0
2020-12-02,428644.0
2020-12-03,422943.0
2020-12-04,416082.0
2020-12-05,409689.0
2020-12-06,403248.0
2020-12-07,396729.0
2020-12-08,383866.0
2020-12-09,378909.0
2020-12-10,372293.0
2020-12-11,363749.0
2020-12-12,359819.0
2020-12-13,356546.0
2020-12-14,352586.0
2020-12-15,339759.0
2020-12-16,332002.0
2020-12-17,322366.0
2020-12-18,313831.0
2020-12-19,308751.0
2020-12-20,305344.0
2020-12-21,306223.0
2020-12-22,285732.0
2020-12-23,289240.0
2020-12-24,283849.0
2020-12-25,281919.0
2020-12-26,281667.0
2020-12-27,278690.0
2020-12-28,277301.0
2020-12-29,268581.0
2020-12-30,262272.0
2020-12-31,257656.0
2021-01-01,254254.0
2021-01-02,250183.0
2021-01-03,247220.0
2021-01-04,243953.0
2021-01-05,231036.0
2021-01-06,227546.0
2021-01-07,228083.0
2021-01-08,225449.0
2021-01-09,224190.0
2021-01-10,223335.0
2021-01-11,222526.0
2021-01-12,216558.0
2021-01-13,214507.0
2021-01-14,213603.0
2021-01-15,213027.0
2021-01-16,211033.0
2021-01-17,208826.0
2021-01-18,208012.0
2021-01-19,200528.0
2021-01-20,197201.0
2021-01-21,192308.0
2021-01-22,188688.0
2021-01-23,185662.0
2021-01-24,184408.0
2021-01-25,178627.0
2021-01-26,177266.0
2021-01-27,176498.0
2021-01-28,173740.0
2021-01-29,171686.0
2021-01-30,169824.0
2021-01-31,168784.0
2021-02-01,167256.0
2021-02-02,163353.0
2021-02-03,160057.0
2021-02-04,155025.0
2021-02-05,151460.0
2021-02-06,148590.0
2021-02-07,148766.0
2021-02-08,148609.0
2021-02-09,143625.0
2021-02-10,141511.0
2021-02-11,138735.0
2021-02-12,135926.0
2021-02-13,136571.0
2021-02-14,137567.0
2021-02-15,139637.0
2021-02-16,136872.0
2021-02-17,136549.0
2021-02-18,131620.0
2021-02-19,139542.0
2021-02-20,143127.0
2021-02-21,145634.0
2021-02-22,150055.0
2021-02-23,147306.0
2021-02-24,159379.0
2021-02-25,151708.0
2021-02-26,155986.0
2021-02-27,159590.0
2021-02-28,164511.0
2021-03-01,167535.0
2021-03-02,168358.0
2021-03-03,159215.0
2021-03-04,173413.0
2021-03-05,176319.0
2021-03-06,180304.0
2021-03-07,184523.0
2021-03-08,188747.0
2021-03-09,173548.0
2021-03-10,184598.0
2021-03-11,184598.0
2021-03-12,189226.0
2021-03-13,202022.0
2021-03-14,210544.0
2021-03-15,219262.0
2021-03-16,223432.0
2021-03-17,234406.0
2021-03-18,252364.0
2021-03-19,271282.0
2021-03-20,288394.0
2021-03-21,309087.0
2021-03-22,334646.0
2021-03-23,345377.0
2021-03-24,368457.0
2021-03-25,395192.0
2021-03-26,421066.0
2021-03-27,452647.0
2021-03-28,486310.0
2021-03-29,521808.0
2021-03-30,540720.0
2021-03-31,552566.0
2021-04-01,588531.0
2021-04-02,614696.0
2021-04-03,658909.0
2021-04-04,691597.0
2021-04-05,741830.0
2021-04-06,788223.0
2021-04-07,843473.0
2021-04-08,910319.0
2021-04-09,979608.0
2021-04-10,1046631.0
2021-04-11,1108087.0
2021-04-12,1201009.0
2021-04-13,1264698.0
2021-04-14,1365704.0
2021-04-15,1471877.0
2021-04-16,1569743.0
2021-04-17,1679740.0
2021-04-18,1801316.0
2021-04-19,1929329.0
2021-04-20,2031977.0
2021-04-21,2157538.0
2021-04-22,2291428.0
2021-04-23,2428616.0
2021-04-24,2552940.0
2021-04-25,2682751.0
2021-04-26,2813658.0
2021-04-27,2882204.0
2021-04-28,2978709.0
2021-04-29,3084814.0
2021-04-30,3170228.0
2021-05-01,3268710.0
2021-05-02,3349644.0
2021-05-03,3413642.0
2021-05-04,3447133.0
2021-05-05,3487229.0
2021-05-06,3566398.0
2021-05-07,3645164.0
2021-05-08,3723446.0
2021-05-09,3736648.0
2021-05-10,3745237.0
2021-05-11,3715221.0
2021-05-12,3704099.0
2021-05-13,3710525.0
2021-05-14,3704893.0
2021-05-15,3673802.0
2021-05-16,3618458.0
2021-05-17,3516997.0
2021-05-18,3353765.0
2021-05-19,3226719.0
2021-05-20,3129878.0
2021-05-21,3027925.0
2021-05-22,2923400.0
2021-05-23,2805399.0
2021-05-24,2720716.0
2021-05-25,2586782.0
2021-05-26,2495591.0
2021-05-27,2419907.0
2021-05-28,2343152.0
2021-05-29,2228724.0
2021-05-30,2114508.0
2021-05-31,2026092.0
2021-06-01,1895520.0
2021-06-02,1793645.0
2021-06-03,1713413.0
2021-06-04,1635993.0
2021-06-05,1555248.0
2021-06-06,1477799.0
2021-06-07,1401609.0
2021-06-08,1303702.0
2021-06-09,1231415.0
2021-06-10,1167952.0
2021-06-11,1121671.0
2021-06-12,1080690.0
2021-06-13,1026159.0
2021-06-14,973158.0
2021-06-15,913378.0
2021-06-16,865432.0
2021-06-17,826740.0
2021-06-18,798656.0
2021-06-19,760019.0
2021-06-20,729243.0
2021-06-21,702887.0
2021-06-22,662521.0
2021-06-23,643194.0
2021-06-24,627057.0
2021-06-25,612868.0
2021-06-26,595565.0
2021-06-27,586403.0
2021-06-28,572994.0
2021-06-29,552659.0
2021-06-30,537064.0
2021-07-01,523257.0
2021-07-02,509637.0
2021-07-03,495533.0
2021-07-04,485350.0
2021-07-05,482071.0
2021-07-06,464357.0
2021-07-07,459920.0
